Date,Topic2,Topic6,Topic8,Topic13,Topic14,Topic22,Topic23,Topic29,Topic36,Topic58,Topic66,Topic67,Topic69,Topic9,MA_PRICE,Price,Topic54,Topic85
12/11/17,7,8,94,112,7,6,7,60,103,27,55,6,11,11,6949.6583,6362.851,11,41
13/11/17,7,2,37,63,12,4,5,31,47,21,40,10,1,9,6674.49318,5716.3016,9,18
14/11/17,2,3,23,58,4,9,6,29,54,14,24,6,11,5,6501.36302,6550.2275,6,19
15/11/17,6,5,16,77,5,4,10,34,48,14,33,6,4,8,6396.83812,6635.4126,5,32
16/11/17,5,3,41,53,3,4,3,19,40,15,33,2,10,6,6513.24452,7301.4299,3,40
17/11/17,7,3,8,44,8,0,3,37,47,19,18,0,6,6,6803.68046,7815.0307,6,17
18/11/17,6,1,24,35,7,1,2,25,28,2,11,4,1,2,7217.79702,7786.8844,4,14
19/11/17,2,4,5,30,7,1,2,15,21,7,15,3,2,2,7471.1796,7817.1404,3,10
20/11/17,2,1,16,42,7,10,7,32,49,12,18,4,6,6,7745.6279,8007.6541,5,25
21/11/17,5,3,7,46,6,2,2,23,25,9,11,4,2,7,7936.46128,8255.5968,7,10
