Date,Topic2,Topic6,Topic8,Topic13,Topic17,Topic22,Topic23,Topic29,Topic36,Topic58,Topic66,Topic67,Topic69,Topic93,MA_PRICE,Price
23/6/18,4,5,22,32,5,1,6,10,32,11,17,4,3,0,6646.336267,6332.573333
24/6/18,1,1,35,55,13,9,2,40,51,23,33,1,6,7,6531.959833,6141.605833
25/6/18,1,5,25,65,22,7,6,21,62,17,24,7,2,3,6391.9615,6037.008333
26/6/18,2,5,1,24,10,0,1,21,29,12,16,3,2,3,6291.307333,6211.4475
27/6/18,3,1,27,32,14,2,1,22,29,14,23,1,6,2,6188.246,6218.595
28/6/18,6,3,42,37,10,3,0,18,30,16,21,5,4,3,6142.790333,6105.295
29/6/18,11,1,42,59,10,2,5,18,47,24,25,2,5,4,6136.048397,6107.896154
30/6/18,3,6,5,30,10,3,2,27,35,13,16,3,9,14,6110.387231,5908.7025
1/7/18,2,6,6,28,7,2,2,10,31,11,14,2,5,3,6144.375897,6381.390833
2/7/18,4,6,1,34,4,3,7,26,23,5,17,2,4,1,6175.607731,6374.754167
3/7/18,5,0,6,24,17,6,5,24,34,16,10,4,8,4,6247.762564,6466.069167
4/7/18,4,6,3,24,13,3,5,25,31,12,21,3,4,1,6348.9205,6613.685833
5/7/18,0,6,4,24,15,1,4,21,21,10,14,4,3,1,6485.837833,6593.289167
