"Date","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","Topic9","Topic10","Topic11","Topic12","Topic13","Topic14","Topic15","Topic16","Topic17","Topic18","Topic19","Topic20","Topic21","Topic22","Topic23","Topic24","Topic25","Topic26","Topic27","Topic28","Topic29","Topic30","Topic31","Topic32","Topic33","Topic34","Topic35","Topic36","Topic37","Topic38","Topic39","Topic40","Topic41","Topic42","Topic43","Topic44","Topic45","Topic46","Topic47","Topic48","Topic49","Topic50","Topic51","Topic52","Topic53","Topic54","Topic55","Topic56","Topic57","Topic58","Topic59","Topic60","Topic61","Topic62","Topic63","Topic64","Topic65","Topic66","Topic67","Topic68","Topic69","Topic70","Topic71","Topic72","Topic73","Topic74","Topic75","Topic76","Topic77","Topic78","Topic79","Topic80","Topic81","Topic82","Topic83","Topic84","Topic85","Topic86","Topic87","Topic88","Topic89","Topic90","Topic91","Topic92","Topic93","Topic94","Topic95","Topic96","Topic97","Topic98","Topic99","Topic100"
2017-09-25,5,5,3,9,2,6,12,6,3,4,2,2,35,7,2,13,15,12,5,8,3,6,4,5,5,0,5,3,27,3,7,7,5,4,3,29,1,6,6,5,28,4,6,3,2,1,16,4,4,8,10,0,5,3,6,1,4,9,4,3,11,3,3,5,16,20,2,6,5,8,4,3,6,5,29,1,2,19,8,9,2,9,5,4,18,5,17,7,4,4,4,2,6,3,29,9,1,1,35,11
2017-09-26,9,6,6,8,3,5,28,49,6,5,1,3,82,13,4,29,22,7,8,7,7,5,5,11,4,5,6,6,35,10,7,10,3,10,3,59,2,8,8,12,47,9,8,12,7,16,38,5,6,5,24,3,6,5,5,13,5,15,1,12,27,7,26,11,20,31,9,15,7,9,8,14,5,7,50,2,7,16,14,7,4,25,0,7,20,17,21,5,5,4,7,5,11,14,60,8,2,8,44,31
2017-09-27,12,4,2,8,7,3,31,26,10,3,4,4,46,6,2,15,21,4,4,7,4,3,9,4,1,4,6,3,28,2,5,8,3,7,7,45,2,5,6,8,35,4,4,9,4,2,21,9,14,4,20,4,2,3,8,5,10,14,3,3,20,1,6,9,23,24,4,6,1,4,11,4,4,6,25,7,9,17,12,9,2,26,5,11,22,12,27,9,2,3,10,11,2,10,30,8,4,3,34,23
2017-09-28,17,0,3,6,4,8,21,11,6,10,9,8,66,6,5,16,19,7,7,6,12,7,13,4,8,5,11,4,37,3,5,3,4,4,9,49,8,5,13,9,29,11,9,4,7,3,24,7,7,5,31,14,6,12,4,9,6,19,2,2,14,2,4,8,21,29,1,13,11,10,6,9,5,4,30,4,5,22,11,19,1,34,7,5,14,15,44,10,7,7,9,6,5,13,33,8,5,3,42,25
2017-09-29,10,0,7,0,8,4,23,19,5,8,7,3,69,7,7,13,11,4,10,4,3,5,7,4,10,3,2,7,11,2,6,7,5,6,6,41,2,6,5,5,65,4,9,7,6,5,20,3,8,3,22,2,5,9,2,4,3,13,5,2,11,2,3,6,11,27,1,0,10,14,9,8,6,2,14,3,10,15,8,13,3,24,6,6,16,10,30,7,8,8,3,1,3,7,28,6,8,4,41,11
2017-09-30,12,7,5,10,4,3,21,31,5,2,7,5,59,10,5,20,7,5,4,10,4,6,10,9,6,2,7,8,45,11,4,5,7,6,12,66,7,9,6,3,32,8,5,10,2,9,33,8,7,9,11,8,5,14,8,2,8,31,5,8,24,7,3,8,25,37,3,3,11,13,8,5,25,3,46,4,4,21,10,19,6,23,9,4,25,19,36,6,8,7,6,3,10,8,33,13,6,4,46,17
2017-10-01,16,1,10,2,3,3,46,25,5,11,2,3,35,7,1,15,14,6,4,4,2,3,0,13,4,0,4,11,23,4,5,3,6,18,8,28,3,7,3,7,16,6,3,1,7,2,17,1,2,10,170,4,7,3,3,3,6,16,1,5,11,9,3,6,23,14,6,4,3,16,4,10,43,3,23,1,2,7,12,8,1,16,7,1,9,23,24,3,4,1,3,3,4,4,19,4,4,19,17,12
2017-10-02,31,6,1,7,2,4,26,36,7,5,7,8,63,4,3,14,22,4,6,7,3,6,2,4,4,3,4,10,33,3,6,2,4,11,8,63,7,2,3,5,40,3,5,4,6,3,33,8,6,6,28,3,3,3,11,7,8,10,7,7,23,6,2,6,20,27,7,9,12,4,9,6,9,0,20,8,3,29,7,13,5,21,0,13,20,7,21,4,8,9,6,3,6,14,32,3,3,6,27,34
2017-10-03,9,2,0,0,1,6,11,7,2,6,1,9,37,2,1,8,24,4,4,1,4,5,13,5,2,2,13,8,14,2,4,5,1,7,2,42,3,3,2,7,9,2,4,2,2,5,6,0,4,4,16,2,3,5,0,21,2,12,3,2,7,1,6,3,69,11,8,4,5,1,3,1,4,5,16,5,2,12,4,2,5,12,4,9,18,4,21,3,1,5,4,3,1,4,17,5,4,3,34,9
2017-10-04,13,3,4,16,3,5,24,9,11,11,5,4,63,5,2,11,12,3,6,12,7,5,7,7,6,6,5,9,48,6,5,5,9,6,8,40,0,4,5,4,16,1,7,9,14,5,16,5,2,5,45,1,9,10,5,8,9,21,4,7,18,3,4,15,41,32,3,2,6,4,8,4,5,12,18,0,13,15,8,12,3,9,7,12,23,13,30,2,2,13,9,5,10,4,35,3,4,5,35,17
2017-10-05,18,5,4,3,2,2,23,9,3,5,3,5,50,2,2,18,11,8,4,3,4,6,3,2,6,2,8,6,40,6,4,5,6,3,10,66,5,4,7,4,20,2,2,5,3,4,18,13,10,5,10,1,5,2,3,4,8,8,7,4,25,5,6,10,21,19,4,4,8,5,11,5,3,7,31,4,11,24,11,13,5,24,3,2,18,17,18,4,1,4,7,4,7,9,33,4,9,3,35,21
2017-10-06,16,4,1,4,3,4,16,10,4,6,2,3,26,7,3,13,16,4,1,0,2,4,10,2,3,4,3,7,27,2,7,3,4,3,0,30,0,2,3,7,21,7,5,4,2,4,16,3,3,5,39,3,0,7,3,5,2,12,4,2,10,2,1,3,21,23,3,3,6,2,7,2,15,2,20,2,4,11,3,10,4,22,2,22,11,13,16,4,6,4,5,1,6,6,23,3,3,14,18,13
2017-10-07,13,3,2,1,0,2,23,2,1,2,9,5,32,2,1,11,16,5,2,3,2,2,3,4,1,1,5,1,12,1,5,3,2,4,7,22,3,5,5,3,6,4,7,2,3,1,10,4,2,2,23,3,5,5,1,5,6,6,6,7,11,4,2,6,25,12,3,0,2,2,6,6,2,6,10,4,2,10,3,5,0,19,3,3,11,12,26,3,5,2,8,2,2,5,11,6,2,0,15,9
2017-10-08,34,2,3,2,4,2,17,4,3,1,1,2,43,3,3,19,5,6,4,11,7,1,0,1,5,4,2,8,13,3,4,1,5,8,7,31,2,5,3,2,19,4,6,6,1,3,15,2,7,1,7,3,3,6,2,2,2,8,2,4,14,4,2,1,14,12,1,5,8,6,3,4,4,0,14,2,4,26,7,15,1,23,6,2,12,7,11,6,0,3,8,2,4,9,15,3,3,2,9,11
2017-10-09,24,4,1,7,3,8,10,46,8,11,10,1,55,5,6,16,21,14,9,3,4,3,3,10,5,6,5,10,27,5,8,8,3,3,6,46,1,5,9,6,30,2,10,8,3,2,68,6,5,8,20,4,7,5,1,3,7,21,5,4,24,4,2,8,22,20,6,7,9,10,10,4,6,4,25,5,4,26,11,22,4,17,4,4,21,7,25,1,2,5,9,3,10,13,22,10,1,1,42,23
2017-10-10,37,2,5,3,4,3,28,27,6,3,7,8,61,9,6,18,16,7,5,5,3,11,2,6,9,2,3,4,35,1,7,8,7,8,7,50,4,9,4,5,16,6,7,2,7,5,29,5,5,6,16,4,10,14,3,3,5,21,3,4,22,3,12,9,27,25,4,10,10,5,9,6,5,4,25,3,5,33,4,17,6,27,5,6,25,12,33,1,3,13,4,5,5,15,39,7,3,3,32,28
2017-10-11,3,3,1,4,3,2,11,36,4,2,8,1,35,2,0,16,11,2,2,4,1,4,8,2,5,2,5,2,19,1,5,1,5,2,1,26,3,5,4,7,22,7,2,1,3,1,14,0,9,2,10,4,2,4,3,8,4,9,9,5,17,8,4,8,9,12,0,6,11,13,3,4,4,3,10,1,2,7,8,4,2,15,3,2,15,11,13,3,1,4,3,2,7,6,18,3,2,2,32,10
2017-10-12,11,2,6,3,2,1,16,17,5,2,1,2,36,4,6,10,21,6,3,2,2,6,1,2,1,4,5,2,23,3,9,2,5,6,3,20,2,8,2,5,35,4,2,5,5,3,16,4,7,5,9,1,3,3,2,4,2,2,3,3,10,6,2,4,11,16,7,8,5,8,5,4,5,3,19,4,4,15,9,10,3,22,5,6,20,9,17,1,5,7,6,2,3,6,21,3,3,3,18,12
2017-10-13,18,4,2,3,2,1,23,16,7,2,4,5,39,1,7,10,20,5,6,5,2,7,2,3,2,3,4,6,18,3,11,7,6,4,2,42,5,1,3,4,34,3,5,2,2,4,17,9,4,5,11,2,5,6,3,2,7,9,1,6,16,7,1,4,8,11,1,4,3,3,2,5,6,0,21,0,5,15,3,10,2,15,0,5,14,9,21,6,10,2,6,3,1,7,23,8,1,1,33,16
2017-10-14,22,6,3,9,4,5,16,31,9,1,8,2,45,5,10,12,13,4,7,6,4,3,3,5,5,2,7,7,20,3,7,1,3,4,3,37,3,5,0,3,12,3,3,5,6,1,21,2,5,6,8,2,1,3,2,7,7,10,6,2,20,7,11,4,21,21,2,9,4,11,8,3,2,6,23,5,3,12,3,10,0,31,3,12,17,12,25,3,6,6,5,1,5,8,13,2,4,8,29,10
2017-10-15,14,1,7,3,3,7,11,32,4,2,4,0,45,2,7,18,11,6,4,2,4,5,7,5,4,3,4,2,24,4,3,3,3,5,5,33,5,9,1,4,20,4,5,4,5,6,20,6,2,5,6,1,2,4,2,4,5,10,2,1,18,1,3,4,21,15,2,13,5,3,3,7,3,5,28,5,5,15,7,12,5,15,0,4,18,11,34,4,4,4,6,1,3,4,25,5,6,4,38,13
2017-10-16,41,0,7,7,0,3,12,8,4,5,2,2,27,1,2,21,10,7,3,3,4,4,3,1,6,3,3,4,24,1,5,7,3,4,10,31,3,7,4,2,39,5,6,4,4,2,10,5,5,1,13,5,1,6,0,1,1,6,2,2,18,1,4,5,12,15,2,4,4,10,5,8,2,6,18,1,3,15,6,11,5,18,0,4,19,14,20,5,4,3,4,2,4,7,29,6,4,0,14,11
2017-10-17,6,7,6,3,4,5,18,17,1,4,0,5,37,4,3,8,7,1,1,5,2,4,6,7,7,2,4,12,16,2,4,6,2,12,2,32,1,8,2,5,15,4,6,1,3,6,19,5,6,5,19,0,2,10,2,3,3,8,1,3,18,6,2,2,11,18,2,6,5,5,1,4,8,9,12,8,1,16,5,9,0,20,1,5,10,7,21,6,5,4,3,5,6,2,21,5,4,3,31,8
2017-10-18,12,3,6,4,4,3,20,20,6,6,3,8,40,8,7,13,29,3,4,8,8,2,5,8,5,4,7,9,51,4,4,7,9,4,2,51,5,6,9,9,26,4,5,7,7,6,25,5,7,16,15,2,3,4,5,4,7,14,2,3,19,4,6,2,16,20,4,4,5,3,5,2,4,6,21,2,5,12,7,5,3,21,7,3,25,7,33,9,1,1,4,1,6,10,32,12,4,3,33,19
2017-10-19,35,3,12,6,2,8,10,2,10,7,4,6,50,5,0,13,18,7,6,7,2,5,33,8,4,5,4,5,26,4,2,7,9,25,8,44,1,1,6,7,18,9,6,10,3,2,17,6,4,9,18,1,1,5,7,7,6,16,7,5,16,2,6,3,25,21,6,4,8,5,6,4,6,3,20,4,5,24,9,18,3,21,5,3,21,42,70,3,3,2,2,6,5,16,26,7,28,2,34,18
2017-10-20,41,18,9,10,6,11,29,43,9,6,6,7,84,8,4,31,39,11,10,19,7,9,11,18,9,9,9,15,47,8,17,13,9,6,25,83,10,6,8,10,28,11,5,13,7,19,41,4,9,13,15,2,5,10,10,8,17,22,10,7,36,5,4,13,47,30,7,18,5,9,18,10,7,7,40,9,10,34,17,30,6,26,7,5,35,22,35,15,5,14,24,6,10,24,51,8,4,10,45,30
2017-10-21,37,7,5,0,3,5,18,54,9,10,3,5,62,5,2,21,22,6,2,8,8,2,6,11,6,2,2,12,25,11,1,14,9,6,7,51,3,7,4,8,36,4,2,7,6,2,29,4,3,7,15,5,9,2,5,11,4,14,2,10,14,9,7,5,39,26,4,11,5,3,15,13,5,4,11,2,4,29,10,17,3,15,6,1,28,8,29,3,4,11,8,3,6,17,25,13,6,1,39,14
2017-10-22,18,5,4,3,1,1,12,18,3,4,1,3,32,4,1,8,7,2,2,5,8,1,2,4,2,2,1,3,14,2,2,3,3,0,2,35,4,2,4,4,17,3,2,3,4,5,16,2,5,1,19,2,2,5,0,3,2,6,3,1,10,4,0,2,18,9,1,6,5,2,1,9,3,0,9,3,2,22,1,7,3,14,2,6,17,7,18,2,0,3,5,4,2,7,19,6,4,7,30,7
2017-10-23,29,5,6,3,2,3,17,1,8,1,5,4,38,13,2,13,24,2,2,6,2,4,2,2,3,4,6,2,22,2,2,5,2,2,6,37,3,9,6,4,15,2,4,7,5,3,21,6,6,5,17,2,1,3,2,3,1,11,6,3,17,2,2,2,26,15,2,9,1,4,2,3,2,6,20,2,3,16,5,16,3,20,1,3,20,14,21,10,2,8,7,2,12,7,26,9,6,4,28,12
2017-10-24,32,7,9,7,7,8,22,2,10,4,15,10,55,1,1,12,11,9,3,9,3,3,6,6,8,3,2,8,50,6,3,6,11,6,5,55,2,9,5,4,28,2,10,5,2,9,32,14,11,5,21,3,3,4,5,6,6,15,4,5,22,8,9,8,30,32,4,11,3,9,14,7,8,1,24,6,4,25,8,27,8,27,2,7,24,8,55,6,5,4,6,1,4,19,43,7,6,2,60,18
2017-10-25,24,2,3,12,6,4,20,1,4,5,1,4,59,9,4,19,23,1,6,7,2,5,10,15,10,7,3,4,38,8,4,7,3,5,17,31,8,6,3,3,21,1,7,4,17,2,18,6,4,8,48,6,2,10,4,7,3,14,13,7,13,2,7,3,37,19,7,9,4,6,9,11,1,1,30,5,3,18,8,7,2,29,6,12,15,20,33,6,7,3,7,4,5,7,24,7,7,6,49,23
2017-10-26,28,1,11,4,5,3,11,8,0,5,2,6,35,3,4,9,17,2,3,3,2,4,3,3,4,3,2,0,22,8,2,2,4,7,2,27,3,0,2,0,9,4,4,4,0,2,9,6,3,3,11,6,1,4,3,2,4,10,3,4,10,0,5,3,14,12,0,8,4,4,8,5,5,5,13,2,4,9,4,7,3,20,5,7,10,8,29,1,5,3,17,3,2,9,14,1,2,9,26,9
2017-10-27,13,7,1,4,2,3,16,7,2,2,5,4,31,8,3,11,13,3,3,2,2,1,3,3,0,2,4,3,17,0,5,1,5,1,5,18,1,3,2,4,14,0,2,5,1,2,22,1,8,3,27,1,3,5,6,12,2,10,5,4,6,0,6,4,7,6,1,10,0,7,2,5,0,1,8,3,5,9,8,8,1,15,3,3,12,8,10,1,4,2,10,2,1,7,15,4,5,7,22,13
2017-10-28,24,6,1,3,5,2,14,2,7,4,3,10,33,1,6,18,9,5,4,8,2,1,7,3,9,1,6,5,33,2,13,5,2,5,14,41,5,3,3,5,17,7,6,5,9,2,23,8,4,9,90,5,4,3,4,8,0,13,2,6,19,5,1,2,37,14,3,5,5,4,7,14,0,4,26,3,2,17,12,5,4,20,11,3,13,13,23,1,4,1,4,6,6,11,24,7,8,5,32,14
2017-10-29,17,2,2,0,2,0,7,6,2,3,0,0,26,3,1,4,2,3,3,3,6,4,1,1,3,0,3,5,8,1,4,3,1,2,3,18,1,5,3,0,16,3,2,2,2,0,16,2,1,1,28,0,1,2,4,1,0,4,0,2,3,3,3,3,23,6,0,1,1,2,3,3,6,1,3,1,0,10,6,9,1,5,2,2,6,4,12,1,1,3,0,2,0,1,12,4,1,2,12,6
