"Date","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","Topic9","Topic10"
2018-12-29,"53","84","84","70","61","135","61","106","135","73"
2018-12-30,"45","71","51","38","33","79","46","89","59","66"
2018-12-31,"59","63","66","38","47","81","52","74","78","56"
2019-01-01,"60","40","24","22","20","39","21","63","28","54"
2019-01-02,"46","89","93","50","54","115","39","201","54","107"
2019-01-03,"53","35","62","29","39","60","23","78","51","51"
2019-01-04,"40","55","49","28","41","52","25","58","75","62"
2019-01-05,"41","67","47","34","41","68","41","92","90","65"
2019-01-06,"57","52","56","18","31","64","28","78","55","48"
2019-01-07,"62","143","94","51","87","159","44","143","180","149"
2019-01-08,"47","50","51","39","29","59","20","75","66","70"
2019-01-09,"13","18","17","17","22","23","15","19","32","17"
2019-01-10,"40","69","30","40","35","75","43","89","70","55"
2019-01-11,"70","109","78","41","62","112","64","156","109","136"
2019-01-12,"93","86","94","56","96","97","58","276","59","190"
2019-01-13,"20","33","47","19","21","40","19","110","35","62"
2019-01-14,"33","43","35","42","24","63","29","56","57","41"
2019-01-15,"25","36","38","19","23","49","29","58","40","44"
2019-01-16,"39","39","22","43","21","64","37","69","47","44"
2019-01-17,"27","28","26","20","14","54","22","36","28","48"
2019-01-18,"46","69","73","53","66","84","44","138","67","95"
2019-01-19,"55","67","61","41","54","70","26","144","57","101"
2019-01-20,"34","60","35","22","52","42","22","42","35","34"
2019-01-21,"54","70","57","44","46","90","36","86","64","53"
