"Date","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","Topic9","Topic10"
2017-12-29,"202","252","173","126","370","241","150","387","147","362"
2017-12-30,"123","98","119","65","128","118","81","126","122","121"
2017-12-31,"134","139","138","85","238","147","107","147","143","139"
2018-01-01,"81","99","57","54","224","63","46","61","57","78"
2018-01-02,"274","212","190","129","324","214","256","240","181","188"
2018-01-03,"206","166","199","101","270","188","143","279","187","219"
2018-01-04,"201","124","162","70","159","118","84","179","129","126"
2018-01-05,"254","190","169","126","160","170","165","323","181","253"
2018-01-06,"208","145","130","70","277","103","75","122","111","119"
2018-01-07,"153","135","132","61","128","127","80","185","127","151"
2018-01-08,"273","181","138","116","311","193","111","181","148","201"
2018-01-09,"153","122","113","78","129","116","96","163","118","107"
2018-01-10,"166","111","104","74","175","145","92","235","78","130"
2018-01-11,"132","173","242","112","328","152","98","144","177","143"
2018-01-12,"99","80","136","66","115","98","47","103","100","73"
2018-01-13,"178","243","222","179","446","262","114","477","193","266"
2018-01-14,"146","100","88","67","114","92","69","159","90","101"
2018-01-15,"115","121","148","71","155","122","73","160","143","116"
2018-01-16,"158","107","153","97","100","118","106","153","151","122"
2018-01-17,"173","124","157","66","117","104","86","108","141","98"
2018-01-18,"85","139","255","91","207","119","169","205","127","145"
2018-01-19,"91","65","113","40","86","78","103","117","75","72"
2018-01-20,"40","41","97","33","58","36","21","41","51","29"
2018-01-21,"117","100","117","41","219","65","47","112","84","79"
2018-01-22,"102","120","134","72","297","88","95","140","119","104"
2018-01-23,"80","107","73","77","245","64","82","80","75","75"
2018-01-24,"122","133","165","79","155","115","108","131","189","141"
2018-01-25,"171","287","216","125","801","175","271","297","199","265"
2018-01-26,"80","61","80","50","175","62","151","66","69","64"
2018-01-27,"104","66","94","62","85","63","68","64","67","77"
2018-01-28,"77","100","110","73","115","117","190","170","84","124"
2018-01-29,"68","84","89","58","58","79","55","66","150","60"
2018-01-30,"136","123","163","46","106","110","129","167","114","154"
2018-01-31,"97","129","123","74","439","100","83","129","119","98"
2018-02-01,"173","91","112","62","105","83","165","100","118","91"
2018-02-02,"113","76","87","50","46","75","51","69","100","60"
2018-02-03,"71","79","94","65","60","87","48","66","106","70"
2018-02-04,"101","84","98","46","67","71","49","188","84","126"
2018-02-05,"195","159","137","85","101","141","112","186","159","146"
2018-02-06,"180","132","216","131","155","126","99","107","183","117"
2018-02-07,"55","51","94","47","72","37","47","62","88","60"
2018-02-08,"158","130","182","87","168","142","76","101","146","138"
2018-02-09,"106","173","147","91","254","152","79","136","119","141"
2018-02-10,"162","116","122","67","76","118","80","123","118","117"
2018-02-11,"88","80","70","47","82","88","59","61","70","62"
2018-02-12,"83","143","121","81","109","183","124","136","147","141"
2018-02-13,"62","95","62","66","136","81","58","63","55","71"
2018-02-14,"108","103","191","82","106","111","81","141","153","109"
2018-02-15,"140","217","147","81","520","153","128","238","142","196"
2018-02-16,"57","83","70","64","229","68","48","98","58","69"
2018-02-17,"58","66","67","59","45","92","60","98","72","72"
2018-02-18,"54","95","107","55","44","123","73","146","107","102"
2018-02-19,"46","67","56","56","39","50","37","50","46","31"
2018-02-20,"54","63","47","47","42","67","77","63","68","49"
2018-02-21,"66","74","85","62","111","63","55","88","81","67"
2018-02-22,"86","100","86","61","137","144","71","165","112","103"
2018-02-23,"87","106","88","46","69","159","59","105","94","83"
2018-02-24,"116","85","73","36","47","89","74","75","87","47"
2018-02-25,"79","88","57","45","119","66","70","70","69","69"
2018-02-26,"121","102","119","69","64","111","55","75","110","113"
2018-02-27,"91","139","77","90","294","132","57","99","70","105"
2018-02-28,"161","141","102","86","319","83","50","119","79","102"
2018-03-01,"57","55","47","26","94","41","28","58","56","40"
2018-03-02,"56","121","101","67","221","134","76","101","118","96"
2018-03-03,"47","78","64","46","115","78","33","64","64","71"
2018-03-04,"74","43","58","18","45","49","29","31","37","32"
2018-03-05,"40","91","82","74","208","70","37","42","85","71"
2018-03-06,"168","165","130","97","296","126","72","123","114","116"
2018-03-07,"167","121","107","62","163","97","61","118","109","92"
2018-03-08,"66","55","57","52","73","53","42","50","61","39"
2018-03-09,"85","70","80","55","60","84","43","79","91","72"
2018-03-10,"85","43","46","30","50","39","39","28","45","33"
2018-03-11,"93","56","39","38","32","66","37","90","69","63"
2018-03-12,"71","88","109","79","90","68","40","98","93","56"
2018-03-13,"70","82","83","79","83","85","51","105","112","71"
2018-03-14,"96","135","126","98","246","126","93","196","83","131"
2018-03-15,"105","147","148","86","93","138","86","192","136","204"
2018-03-16,"130","111","89","76","211","88","76","118","70","110"
