Date,Value
2017-09-12,4248.090017
2017-09-13,4219.036617
2017-09-14,3961.271267
2017-09-15,3319.63
2017-09-16,3774.265283
2017-09-17,3763.62604
2017-09-18,3746.060783
2017-09-19,4093.316667
2017-09-20,3943.413333
2017-09-21,3977.561667
2017-09-22,3658.898183
2017-09-23,3637.50255
2017-09-24,3776.3869
2017-09-25,3703.04065
2017-09-26,3942.555
2017-09-27,3910.307383
2017-09-28,4202.554983
2017-09-29,4201.98905
2017-09-30,4193.574667
2017-10-01,4335.368317
2017-10-02,4360.722967
2017-10-03,4386.88375
2017-10-04,4293.3066
2017-10-05,4225.175
2017-10-06,4338.852
2017-10-07,4345.603333
2017-10-08,4376.191667
2017-10-09,4602.280883
2017-10-10,4777.967817
2017-10-11,4782.28
2017-10-12,4819.485767
2017-10-13,5325.130683
2017-10-14,5563.806567
2017-10-15,5739.438733
2017-10-16,5647.311667
2017-10-17,5711.205867
2017-10-18,5603.71294
2017-10-19,5546.1761
2017-10-20,5727.6335
2017-10-21,5979.45984
2017-10-22,6020.371683
2017-10-23,5983.18455
2017-10-24,5876.079867
2017-10-25,5505.827767
2017-10-26,5669.622533
2017-10-27,5893.138417
2017-10-28,5772.504983
2017-10-29,5776.69695
2017-10-30,6155.43402
2017-10-31,6105.87422
2017-11-01,6388.645167
2017-11-02,6665.306683
2017-11-03,7068.0201
2017-11-04,7197.72006
2017-11-05,7437.543317
2017-11-06,7377.012367
2017-11-07,6989.071667
2017-11-08,7092.127233
2017-11-09,7415.87825
2017-11-10,7158.03706
2017-11-11,6719.39785
2017-11-12,6362.851033
2017-11-13,5716.301583
2017-11-14,6550.227533
2017-11-15,6635.412633
2017-11-16,7301.42992
2017-11-17,7815.0307
2017-11-18,7786.884367
2017-11-19,7817.140383
2017-11-20,8007.654067
2017-11-21,8255.596817
2017-11-22,8059.8
2017-11-23,8268.035
2017-11-24,8148.95
2017-11-25,8250.978333
2017-11-26,8707.407267
2017-11-27,9284.1438
2017-11-28,9718.29505
2017-11-29,9952.50882
2017-11-30,9879.328333
2017-12-01,10147.372
2017-12-02,10883.912
2017-12-03,11071.36833
2017-12-04,11332.622
2017-12-05,11584.83
2017-12-06,11878.43333
2017-12-07,13540.98
2017-12-08,16501.97167
2017-12-09,16007.43667
2017-12-10,15142.83415
2017-12-11,14869.805
2017-12-12,16762.11667
2017-12-13,17276.39333
2017-12-14,16808.36667
2017-12-15,16678.892
2017-12-16,17771.9
2017-12-17,19498.68333
2017-12-18,19289.785
2017-12-19,18961.85667
2017-12-20,17737.11167
2017-12-21,16026.27167
2017-12-22,16047.51
2017-12-23,15190.945
2017-12-24,15360.26167
2017-12-25,13949.175
2017-12-26,14119.02833
2017-12-27,15999.04833
2017-12-28,15589.32167
2017-12-29,14380.58167
2017-12-30,14640.14
2017-12-31,13215.574
2018-01-01,14165.575
2018-01-02,13812.18667
2018-01-03,15005.85667
2018-01-04,15053.26167
2018-01-05,15199.355
2018-01-06,17174.12
2018-01-07,17319.198
2018-01-08,16651.47167
2018-01-09,15265.90667
2018-01-10,14714.25333
2018-01-11,15126.39833
2018-01-12,13296.794
2018-01-13,13912.882
2018-01-14,14499.77333
2018-01-15,13852.92
2018-01-16,14012.196
2018-01-17,11180.99833
2018-01-18,11116.94667
2018-01-19,11345.42333
2018-01-20,11422.44
2018-01-21,12950.79333
2018-01-22,11505.228
2018-01-23,10544.59333
2018-01-24,11223.064
2018-01-25,11282.25833
2018-01-26,11214.44
2018-01-27,10969.815
2018-01-28,11524.77667
2018-01-29,11765.71
2018-01-30,11212.655
2018-01-31,10184.06167
2018-02-01,10125.01333
2018-02-02,9083.258333
2018-02-03,8901.901667
2018-02-04,9076.678333
2018-02-05,8400.648333
2018-02-06,6838.816667
2018-02-07,7685.633333
2018-02-08,8099.958333
2018-02-09,8240.536667
2018-02-10,8535.516667
2018-02-11,8319.876566
2018-02-12,8343.455
2018-02-13,8811.343333
2018-02-14,8597.7675
2018-02-15,9334.633333
2018-02-16,9977.154
2018-02-17,10127.16167
2018-02-18,10841.99167
2018-02-19,10503.29833
2018-02-20,11110.965
2018-02-21,11390.39167
2018-02-22,10532.79167
2018-02-23,9931.071667
2018-02-24,10162.11667
2018-02-25,9697.956
2018-02-26,9696.593333
2018-02-27,10348.60333
2018-02-28,10763.88333
2018-03-01,10370.165
2018-03-02,11009.38167
2018-03-03,11055.815
2018-03-04,11326.94833
2018-03-05,11430.18167
2018-03-06,11595.54
2018-03-07,10763.19833
2018-03-08,10118.058
2018-03-09,9429.111667
2018-03-10,9089.278333
2018-03-11,8746.002
2018-03-12,9761.396667
2018-03-13,9182.843333
2018-03-14,9154.7
2018-03-15,8151.531667
2018-03-16,8358.121667
2018-03-17,8530.402
2018-03-18,7993.674644
2018-03-19,8171.415
2018-03-20,8412.033333
2018-03-21,8986.948333
2018-03-22,8947.753333
2018-03-23,8690.408333
2018-03-24,8686.826667
2018-03-25,8662.378333
2018-03-26,8617.296667
2018-03-27,8197.548333
2018-03-28,7876.195
2018-03-29,7960.38
2018-03-30,7172.28
2018-03-31,6882.531667
2018-04-01,6935.48
2018-04-02,6794.105
2018-04-03,7035.848333
2018-04-04,7410.435
2018-04-05,6787.761667
2018-04-06,6826.51
2018-04-07,6603.876667
2018-04-08,6927.688
2018-04-09,7017.656667
2018-04-10,6699.273333
2018-04-11,6787.571667
